job_id,created_by,order_id,recurring_id,recurring_count,partner_order_id,team_id,vertical,merchant_id,geofence,tags,auto_assignment,dispatcher_id,job_hash,has_pickup,has_delivery,is_routed,pickup_delivery_relationship,job_description,job_pickup_datetime,job_delivery_datetime,job_pickup_latitude,job_pickup_longitude,job_latitude,job_longitude,creation_datetime,fleet_id,first_fleet_id,user_id,fleet_rating,customer_comment,is_customer_rated,customer_id,arrived_datetime,started_datetime,completed_datetime,acknowledged_datetime,job_status,is_active,job_type,completed_by_admin,open_tracking_link,timezone,job_time,job_date,job_time_utc,job_date_utc,total_distance_travelled,form_id,customer_rating,driver_comment,remarks,barcode,ride_type,matched_pickup_delivery_relationship,is_return_task,insurance_amount,upto_limit,is_package_insured,old_pickup_address,old_pickup_lattitude,old_pickup_longitude,total_amount,payment_method,is_last_delivery,subtotal_amount,total_insurance_amount,total_discount,total_amount_for_all_tasks,total_no_of_tasks,incident_marked_at,incident_marked_at_latitude,incident_marked_at_longitude,is_schedule_task,unique_order_id,service_charge_amount,admin_amount,is_pickup_completed_before,benefit_type,promo_value,old_payment_method,is_job_edited,amount_for_first_task,delivery_completed_by,is_cod_job,cash_handling_charges,cash_handling_percentage,parcel_amount,kwister_cash_handling_charge,delivery_charge_by_buyer,delivery_charge,outstanding_amount,net_processed_amount,surge_cost,surge_type,task_history_image,order_payable_amount,pricing_amount,actual_order_payable_amount,cancellation_reason,cancellation_charges,is_refund_enable,refund_amount,vehicle_id,delivery_instruction,loaders_amount,delivery_images,is_paid,loaders_count
13,3,9,0,0,NULL,1,0,0,0,NULL,2,NULL,fb1e749039c4162a1846f29436544963,1,1,0,1.32E+18,NULL,06/18/19 11:27 AM,0000-00-00 00:00:00,30.7188978,76.8102981,30.7188978,76.8102981,06/18/19 05:58 AM,1,1,1,0,NULL,0,NULL,06/18/19 11:42 AM,06/18/19 11:42 AM,06/18/19 11:42 AM,06/18/19 11:42 AM,2,1,0,0,0,-330,06/18/19 11:27 AM,2019-06-18,06/18/19 05:57 AM,2019-06-18,NULL,2,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,590,8,0,439.1,0,0,590,1,NULL,NULL,NULL,0,13AA000,0,472,1,NULL,NULL,NULL,0,590,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
14,3,9,0,0,NULL,1,0,0,0,NULL,2,NULL,1bc25ad5f49accc492c3b57454d7f041,1,1,0,1.32E+18,NULL,0000-00-00 00:00:00,06/18/19 11:36 AM,30.7293631,76.7919727999999,30.7293631,76.7919727999999,06/18/19 05:58 AM,1,1,1,0,NULL,0,NULL,06/18/19 11:43 AM,06/18/19 11:43 AM,06/18/19 11:43 AM,06/18/19 11:42 AM,2,1,1,0,0,-330,06/18/19 11:36 AM,2019-06-18,06/18/19 06:06 AM,2019-06-18,NULL,2,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,590,8,1,439.1,0,0,590,1,NULL,NULL,NULL,0,13AA000,0,472,1,NULL,NULL,NULL,0,590,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
16,3,8,0,0,NULL,1,0,0,0,NULL,2,NULL,d135df594f1bb5ed7627899c80bb89de,1,1,0,1.52E+18,NULL,0000-00-00 00:00:00,06/18/19 04:43 PM,30.3397809,76.3868797,30.3397809,76.3868797,06/18/19 10:55 AM,1,1,1,0,NULL,0,NULL,06/18/19 11:42 AM,06/18/19 11:42 AM,06/18/19 11:42 AM,06/18/19 11:42 AM,2,1,1,0,0,-330,06/18/19 04:43 PM,2019-06-18,06/18/19 11:13 AM,2019-06-18,NULL,2,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,300,8,1,200,0,0,300,1,NULL,NULL,NULL,0,15AA000,100,160,1,NULL,NULL,8,1,300,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
17,3,7,0,0,NULL,1,0,0,0,NULL,2,NULL,bcd9d958f74e4c43e9be842d45cfad17,1,1,0,1.72E+18,NULL,06/18/19 04:39 PM,0000-00-00 00:00:00,30.7188978,76.8102981,30.7188978,76.8102981,06/18/19 11:09 AM,1,1,1,0,NULL,0,NULL,06/18/19 11:41 AM,06/18/19 11:41 AM,06/18/19 11:41 AM,06/18/19 11:41 AM,2,1,0,0,0,-330,06/18/19 04:39 PM,2019-06-18,06/18/19 11:09 AM,2019-06-18,NULL,2,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,1640,8,0,1387.8,100,0,1640,1,NULL,NULL,NULL,0,17AA000,0,1312,1,NULL,NULL,NULL,0,1640,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
18,3,7,0,0,NULL,1,0,0,0,NULL,2,NULL,1e8831bf591909f1aabc36a9c0135823,1,1,0,1.72E+18,NULL,0000-00-00 00:00:00,06/18/19 04:57 PM,30.6942091,76.860565,30.6942091,76.860565,06/18/19 11:09 AM,1,1,1,0,NULL,0,NULL,06/18/19 11:42 AM,06/18/19 11:42 AM,06/18/19 11:42 AM,06/18/19 11:41 AM,2,1,1,0,0,-330,06/18/19 04:57 PM,2019-06-18,06/18/19 11:27 AM,2019-06-18,NULL,2,NULL,NULL,NULL,NULL,0,NULL,0,100,1000,1,,,,1640,8,0,1387.8,100,0,1640,1,NULL,NULL,NULL,0,17AA000,0,1312,1,NULL,NULL,NULL,0,1640,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
19,3,7,0,0,NULL,1,0,0,0,NULL,2,NULL,4a31bfb8e0cb11dfe4e33f3dc4b05832,1,1,0,1.72E+18,NULL,0000-00-00 00:00:00,06/18/19 05:15 PM,30.7188978,76.8102981,30.7188978,76.8102981,06/18/19 11:09 AM,1,1,1,0,NULL,0,NULL,06/18/19 11:42 AM,06/18/19 11:42 AM,06/18/19 11:42 AM,06/18/19 11:41 AM,2,1,1,0,0,-330,06/18/19 05:15 PM,2019-06-18,06/18/19 11:45 AM,2019-06-18,NULL,2,NULL,NULL,NULL,NULL,0,NULL,1,0,0,0,,,,1640,8,1,1387.8,100,0,1640,1,NULL,NULL,NULL,0,17AA000,0,1312,1,NULL,NULL,NULL,0,1640,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
20,3,7,0,0,NULL,1,0,0,0,NULL,2,NULL,a41ba6d9470fad7be9c208dc9c2e4498,1,1,0,2.02E+18,NULL,06/18/19 04:40 PM,0000-00-00 00:00:00,30.6948386,76.879502,30.6948386,76.879502,06/18/19 11:10 AM,1,1,1,0,NULL,0,NULL,06/18/19 11:10 AM,06/18/19 11:12 AM,06/18/19 11:12 AM,06/18/19 11:12 AM,2,1,0,0,0,-330,06/18/19 04:40 PM,2019-06-18,06/18/19 11:10 AM,2019-06-18,NULL,2,5,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,1710,8,0,1563.2,0,0,1710,1,NULL,NULL,NULL,0,20AA000,0,1368,1,NULL,NULL,NULL,0,1710,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
21,3,7,0,0,NULL,1,0,0,0,NULL,2,NULL,8c8d9ef7bb749954144b6e4d0790bc87,1,1,0,2.02E+18,NULL,0000-00-00 00:00:00,06/18/19 04:50 PM,30.7333148,76.7794179,30.7333148,76.7794179,06/18/19 11:10 AM,1,1,1,0,NULL,0,NULL,06/18/19 11:11 AM,06/18/19 11:11 AM,06/18/19 11:11 AM,06/18/19 11:10 AM,2,1,1,0,0,-330,06/18/19 04:50 PM,2019-06-18,06/18/19 11:20 AM,2019-06-18,NULL,2,5,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,1710,8,0,1563.2,0,0,1710,1,NULL,NULL,NULL,0,20AA000,0,1368,1,NULL,NULL,NULL,0,1710,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
22,3,7,0,0,NULL,1,0,0,0,NULL,2,NULL,d5f03f0c361d1747771bab7926cccfea,1,1,0,2.02E+18,NULL,0000-00-00 00:00:00,06/18/19 05:12 PM,30.6942091,76.860565,30.6942091,76.860565,06/18/19 11:10 AM,1,1,1,0,NULL,0,NULL,06/18/19 11:12 AM,06/18/19 11:12 AM,06/18/19 11:12 AM,06/18/19 11:12 AM,2,1,1,0,0,-330,06/18/19 05:12 PM,2019-06-18,06/18/19 11:42 AM,2019-06-18,NULL,2,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,1710,8,1,1563.2,0,0,1710,1,NULL,NULL,NULL,0,20AA000,0,1368,1,NULL,NULL,NULL,0,1710,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
24,4,6,0,0,NULL,1,0,0,0,NULL,2,NULL,03b5dc5a1a2d0b0e85302c53a0ce67f4,1,1,0,2.32E+18,,0000-00-00 00:00:00,06/18/19 05:29 PM,30.7333148,76.7794179,30.7333148,76.7794179,06/18/19 11:36 AM,1,1,1,0,NULL,0,NULL,06/18/19 11:41 AM,06/18/19 11:41 AM,06/18/19 11:41 AM,06/18/19 11:41 AM,2,1,1,0,0,-330,06/18/19 05:29 PM,2019-06-18,06/18/19 11:59 AM,2019-06-18,NULL,1,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,980,8,1,834.9,0,0,980,1,NULL,NULL,NULL,0,23AA000,0,784,1,NULL,NULL,NULL,0,980,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
26,4,6,0,0,NULL,1,0,0,0,NULL,2,NULL,48c2b18f21df8770734418fc6c5f84e4,1,1,0,2.52E+18,,0000-00-00 00:00:00,06/18/19 05:38 PM,30.7188978,76.8102981,30.7188978,76.8102981,06/18/19 11:37 AM,1,1,1,5,,1,NULL,06/18/19 11:40 AM,06/18/19 11:40 AM,06/18/19 11:40 AM,06/18/19 11:40 AM,2,1,1,0,0,-330,06/18/19 05:38 PM,2019-06-18,06/18/19 12:08 PM,2019-06-18,NULL,1,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,1250,8,1,1102.4,0,0,1250,1,NULL,NULL,NULL,0,25AA000,0,1000,1,NULL,NULL,NULL,0,1250,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
28,4,8,0,0,NULL,1,0,0,0,NULL,2,NULL,2987e88f347d38a81f7dd16e4679fc40,1,1,0,2.72E+18,,0000-00-00 00:00:00,06/18/19 05:49 PM,30.7052881,76.844708,30.7052881,76.844708,06/18/19 11:38 AM,1,1,1,0,NULL,0,NULL,06/18/19 11:40 AM,06/18/19 11:40 AM,06/18/19 11:40 AM,06/18/19 11:40 AM,2,1,1,0,0,-330,06/18/19 05:49 PM,2019-06-18,06/18/19 12:19 PM,2019-06-18,NULL,1,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,1500,8,1,1404.5,0,0,1500,1,NULL,NULL,NULL,0,27AA000,0,1200,1,NULL,NULL,NULL,0,1500,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
29,4,8,0,0,NULL,1,0,0,0,NULL,2,NULL,ab8b0c227241ab33acdcd66926955eba,1,1,0,2.92E+18,,06/18/19 05:22 PM,0000-00-00 00:00:00,30.6948331,76.8795669,30.6948331,76.8795669,06/18/19 11:46 AM,3,3,1,0,NULL,0,NULL,06/18/19 11:58 AM,06/18/19 12:00 PM,06/18/19 12:00 PM,06/18/19 12:00 PM,2,1,0,0,0,-330,06/18/19 05:22 PM,2019-06-18,06/18/19 11:52 AM,2019-06-18,NULL,1,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,980,8,0,834.9,0,0,980,1,NULL,NULL,NULL,0,29AA000,0,784,1,NULL,NULL,NULL,0,980,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
30,4,8,0,0,NULL,1,0,0,0,NULL,2,NULL,0e212d719f996f94deb1a65e4b006010,1,1,0,2.92E+18,,0000-00-00 00:00:00,06/18/19 05:40 PM,30.7333148,76.7794179,30.7333148,76.7794179,06/18/19 11:46 AM,3,3,1,0,NULL,0,NULL,06/18/19 12:00 PM,06/18/19 12:00 PM,06/18/19 12:00 PM,06/18/19 12:00 PM,2,1,1,0,0,-330,06/18/19 05:40 PM,2019-06-18,06/18/19 12:10 PM,2019-06-18,NULL,1,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,980,8,1,834.9,0,0,980,1,NULL,NULL,NULL,0,29AA000,0,784,1,NULL,NULL,NULL,0,980,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
31,4,8,0,0,NULL,1,0,0,0,NULL,1,NULL,1c8d7bf76774a78707d86380a9630931,1,1,0,3.12E+18,,06/18/19 05:22 PM,0000-00-00 00:00:00,30.7333148,76.7794179,30.7333148,76.7794179,06/18/19 11:46 AM,NULL,NULL,1,0,NULL,0,NULL,06/19/19 05:41 AM,06/19/19 05:41 AM,06/19/19 05:41 AM,06/19/19 05:41 AM,9,1,0,0,0,-330,06/18/19 05:22 PM,2019-06-18,06/18/19 11:52 AM,2019-06-18,NULL,1,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,1100,8,0,1001.5,0,0,1100,1,NULL,NULL,NULL,0,31AA000,0,0,0,NULL,NULL,NULL,0,1100,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
32,4,8,0,0,NULL,1,0,0,0,NULL,1,NULL,5015115dfcf088b5ecf6a7dc9bd87812,1,1,0,3.12E+18,,0000-00-00 00:00:00,06/18/19 05:45 PM,30.6942091,76.860565,30.6942091,76.860565,06/18/19 11:46 AM,NULL,NULL,1,0,NULL,0,NULL,06/19/19 05:41 AM,06/19/19 05:41 AM,06/19/19 05:41 AM,06/19/19 05:41 AM,9,1,1,0,0,-330,06/18/19 05:45 PM,2019-06-18,06/18/19 12:15 PM,2019-06-18,NULL,1,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,1100,8,0,1001.5,0,0,1100,1,NULL,NULL,NULL,0,31AA000,0,0,0,NULL,NULL,NULL,0,1100,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
33,4,6,0,0,NULL,1,0,0,0,NULL,1,NULL,99976914220d88f69b1522cacf4f5d45,1,1,0,3.32E+18,,06/18/19 05:23 PM,0000-00-00 00:00:00,30.6942091,76.860565,30.6942091,76.860565,06/18/19 11:48 AM,NULL,NULL,1,0,NULL,0,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,6,1,0,0,0,-330,06/18/19 05:23 PM,2019-06-18,06/18/19 11:53 AM,2019-06-18,NULL,1,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,1090,8,0,944.4,0,0,1090,1,NULL,NULL,NULL,0,33AA000,0,0,0,NULL,NULL,NULL,0,1090,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
34,4,6,0,0,NULL,1,0,0,0,NULL,1,NULL,4d1811bed3b6c22372500871f0a70a39,1,1,0,3.32E+18,,0000-00-00 00:00:00,06/18/19 05:43 PM,30.7333148,76.7794179,30.7333148,76.7794179,06/18/19 11:48 AM,NULL,NULL,1,0,NULL,0,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,6,1,1,0,0,-330,06/18/19 05:43 PM,2019-06-18,06/18/19 12:13 PM,2019-06-18,NULL,1,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,1090,8,0,944.4,0,0,1090,1,NULL,NULL,NULL,0,33AA000,0,0,0,NULL,NULL,NULL,0,1090,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
35,3,7,0,0,NULL,1,0,0,0,NULL,2,NULL,7279bee795a9282372ec05a0e6c2f004,1,1,0,3.52E+18,NULL,06/18/19 05:21 PM,0000-00-00 00:00:00,30.7188978,76.8102981,30.7188978,76.8102981,06/18/19 11:51 AM,1,1,1,0,NULL,0,NULL,06/19/19 05:28 AM,06/19/19 05:28 AM,06/19/19 05:28 AM,06/19/19 05:28 AM,2,1,0,0,0,-330,06/18/19 05:21 PM,2019-06-18,06/18/19 11:51 AM,2019-06-18,NULL,2,NULL,NULL,NULL,NULL,0,NULL,0,0,0,0,,,,680,8,0,526.5,0,0,680,1,NULL,NULL,NULL,0,35AA000,0,544,1,NULL,NULL,NULL,0,680,NULL,0,0,0,0,0,-1,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,0,,0,,0,0
